quantile,n,mean_signal,default_rate,mean_pd,calibration_gap,roc_auc,brier,ece,observed_expected_ratio
Q1_agree,57639,0.0200974690174163,0.15598813303492426,0.14618596030728492,0.009802172727639336,0.6682880051569412,0.12548693433267336,0.010549079973888884,0.937160779240529
Q2,58522,0.06388630825965295,0.15609514370664024,0.14804333285025803,0.008051810856382208,0.6786588999857464,0.12498595958461603,0.009072552018551944,0.9484172879105419
Q3,53794,0.12741622309208103,0.15458973119678773,0.1453702496576399,0.009219481539147839,0.6567784383046708,0.12553360670228575,0.012758721726205968,0.9403616173741078
Q4,56815,0.22322163408108972,0.14297280647716273,0.1346215856618406,0.008351220815322136,0.66413536176044,0.11737337899589394,0.008995413744349359,0.9415887466917977
Q5_disagree,56256,0.4257932826978456,0.13451009670079636,0.11689574826093303,0.017614348439863328,0.6771281198387112,0.11133607768107691,0.01786788545333874,0.869048131910539
