epoch,train_loss,valid_loss
0,0.6419181195174763,0.43135313346065873
1,0.46293846030086255,0.3906708176990574
2,0.44587125489982915,0.4005676673750955
3,0.43711027247470957,0.3877132362573529
4,0.4309860692099171,0.3828189686520336
5,0.4277439177334317,0.3718913233938301
6,0.42516415892828874,0.375824579296128
7,0.4224375135278352,0.3723432705572887
8,0.41869644430188524,0.36793428698826514
9,0.41743629015340594,0.35953248565738444
10,0.41547053178339427,0.37257301359932476
11,0.4123648471569897,0.36265715325242653
12,0.4123222539291657,0.36668480283941796
13,0.41029825840575607,0.3554728217675366
14,0.40990091538871765,0.357970016274877
15,0.40756924909368825,0.3645439723005658
16,0.40986047866859704,0.3563334739916198
17,0.4070507414941667,0.3597645273546652
18,0.4061424075683007,0.3611127356214535
