,n_episodes,mean_reward,std_reward,min_reward,p05_reward,approval_rate,default_rate_of_book,capital_deployed,return_on_capital,revenue,losses,costs,review_rate
expected_profit(lambda=0.0317),12.0,119168.50265316108,78790.171107874,-15201.96019897476,9893.773338844283,0.20104166666666667,0.19052654824661,4913314.583333333,0.02425416425895208,725528.3047977914,292570.02818629704,313789.77395833336,0.0
fixed_threshold@0.150,12.0,85998.27744265221,31453.5972140398,34269.380132130354,43270.47561787984,0.3051388888888889,0.09826592587782564,4914487.5,0.017499058928960774,557369.9622009873,138778.14100833514,332593.54375,0.0
expected_profit,12.0,80766.28973941824,45620.975025083746,-2593.907944068398,9538.170245504807,0.2077083333333333,0.1571914364870967,4914259.375,0.016434617802617634,638325.7619109388,242516.31748402046,315043.15468750003,0.0
risk_band,12.0,63934.57697009359,27880.574168998188,5645.769943564316,18984.98597628366,0.42416666666666675,0.12732750606128615,4914735.416666667,0.01300872833705985,574741.8949367878,156774.76692502745,354032.55104166665,0.0
linucb@alpha=1,12.0,63890.84645739683,42453.7823950366,4516.586138586426,5885.43339808607,0.20034722222222223,0.13958954817102448,4913932.291666667,0.013001146122179301,596083.9626709484,218493.44173438475,313699.6744791667,0.0
budget_aware_q(greedy),12.0,56347.2348595523,31933.16531041344,11366.836480879756,14964.061343168523,0.26875,0.1517959777148441,4914185.416666667,0.01146654929484652,631883.1179065999,249509.4070053808,326026.4760416667,0.0
thompson,12.0,46445.167866584925,24025.378819835794,6104.323265173185,11091.295210109643,0.373125,0.13921896578001813,4913608.333333333,0.00945175336079218,609254.0659582446,218027.5272583264,344781.37083333335,0.0
approve_all,12.0,43449.74744678629,38307.38396548949,-18953.212314419907,-9779.802129848558,0.31979166666666664,0.14201551645024954,4914408.333333333,0.008841151413308062,606244.9013467924,227568.58306667267,335226.57083333336,0.0
