treatment,baseline,n_pairs,mean_difference,ci_low,ci_high,win_rate,significant,relative_improvement
expected_profit(lambda=0.0317),expected_profit,12.0,38402.212913742806,-215.26966841199203,75002.52020064005,0.75,False,0.47547328269804734
fixed_threshold@0.150,expected_profit,12.0,5231.987703233955,-26668.68553829242,36489.70013436956,0.5,False,0.06477934940572697
risk_band,expected_profit,12.0,-16831.712769324666,-34525.85262197439,2477.137440845639,0.25,False,-0.20840022271209888
linucb@alpha=1,expected_profit,12.0,-16875.44328202142,-43860.26339888202,8815.137488525826,0.5,False,-0.2089416678228975
budget_aware_q(greedy),expected_profit,12.0,-24419.05487986594,-50732.33817851028,3189.4124390576335,0.3333333333333333,False,-0.30234216476516124
thompson,expected_profit,12.0,-34321.12187283332,-55550.36538629151,-12365.949016953276,0.16666666666666666,True,-0.42494364893529074
approve_all,expected_profit,12.0,-37316.542292631966,-58565.626021239164,-17967.17924697399,0.08333333333333333,True,-0.46203115697191066
