method,n,positive_rate,mean_prediction,roc_auc,pr_auc,ks,brier,log_loss,ece,mce,calibration_slope,calibration_intercept,observed_expected_ratio
identity,283026,0.14886264866125373,0.12972865873369638,0.6705033804775178,0.25018682033272666,0.24634051435720838,0.12124042089397571,0.39863991351196837,0.01930845582088114,0.02822455551899644,0.9909846843543333,0.15153335044262936,0.8714654743843908
platt,283026,0.14886264866125373,0.13827162276554802,0.6705033804775178,0.25018682033272666,0.24634051435720838,0.12095078009593815,0.39748906624954744,0.01110906288718786,0.018095395689996102,1.0048662029877675,0.09863233797312884,0.9288537051372353
isotonic,283026,0.14886264866125373,0.1382939927808551,0.6702266886101022,0.24562918657268645,0.24496004944952315,0.12097775043339866,0.3975852670697499,0.010568655880398618,0.031830438514518444,0.9825156974564683,0.0604843140148939,0.9290039779928392
