policy,n_loans,capital_deployed,observed_profit,return_on_capital,default_rate,mean_apr,budget_utilisation
A_pd_ranked,131570,1921989925.0,156971329.37638226,0.08167125505425439,0.17302576575207115,0.13266341035190393,0.9999901379227759
B_blindspot_aware,133378,1890596825.0,153764315.59368113,0.08133109796885496,0.16322032119240054,0.12657379103000496,0.9836566545936042
C_exposure_capped,148186,1922002962.5,156621515.8686607,0.08148869638834425,0.16787685746291822,0.1292506032958579,0.9999969211900832
