,n_episodes,mean_reward,std_reward,min_reward,p05_reward,approval_rate,default_rate_of_book,capital_deployed,return_on_capital,revenue,losses,costs,review_rate
expected_profit(lambda=0.0500),12.0,61771.06862164007,49239.43823809491,-15484.128415055753,-5779.271511544006,0.11159722222222224,0.21012704804446802,2806597.9166666665,0.022011673079089775,431180.72752113244,190749.37660782575,178660.28229166663,0.0
fixed_threshold@0.150,12.0,47703.277065704264,17917.369494448165,8593.278168649136,18734.153798548374,0.17597222222222222,0.09558550915309362,2808135.4166666665,0.016987404747464227,316880.8601823742,78842.93207500326,190334.65104166666,0.0
expected_profit,12.0,46934.29337651494,37150.59084595019,-4404.801418034918,-2480.1445465081288,0.11986111111111108,0.15879906734131827,2807787.5,0.0167175704877049,365232.9552869175,138083.66816040257,180214.99375000002,0.0
linucb@alpha=1,12.0,46218.520375332155,20013.79756691337,19012.565028920777,24131.305193730368,0.2368055555555556,0.13588599660592166,2807710.4166666665,0.01646092186719162,362523.30620695365,115044.14728995482,201260.63854166667,0.0
risk_band,12.0,37362.77494664315,12359.902621848058,11379.533586246362,17270.86902435367,0.2421527777777778,0.1216268750182667,2808279.1666666665,0.013304551193528372,326516.67144250614,86898.62357919628,202255.2729166667,0.0
thompson,12.0,35437.177246498846,51168.13232363307,-69811.06576365232,-46872.664371937564,0.11131944444444443,0.13577179368224918,2808192.7083333335,0.01261924928747605,338217.1004106814,124079.5351433492,178700.38802083334,0.0
budget_aware_q(greedy),12.0,33810.98952781775,41074.45523224422,-50651.027391879434,-27274.922063101192,0.15861111111111112,0.15131384511814264,2807560.4166666665,0.012043220159982784,355398.44488930615,134410.29181982178,187177.1635416667,0.0
approve_all,12.0,20617.95883159929,37559.008922412526,-35536.27446800936,-28058.13885889978,0.18569444444444447,0.1431884757641141,2808145.8333333335,0.007342040566001329,343664.04938160087,130960.85096666827,192085.23958333334,0.0
