,n_episodes,mean_reward,std_reward,min_reward,p05_reward,approval_rate,default_rate_of_book,capital_deployed,return_on_capital,revenue,losses,costs,review_rate
expected_profit,12.0,147180.18782483155,82293.9028044996,16565.086687722127,26735.43866638686,0.6591666666666666,0.16981816816183404,15785475.0,0.009402151855941,2035038.133997728,877328.6086728965,1010529.3375,0.0
fixed_threshold@0.150,12.0,134189.13520809685,65597.49919759834,8176.874385047056,43059.32182644002,0.6136111111111112,0.0999740370235676,9915852.083333334,0.013644145332044754,1118649.152666428,313764.3747499978,670695.6427083333,0.0
risk_band,12.0,95036.83142175987,58387.366294629035,-7946.366783804857,-787.3118549852979,0.9497916666666666,0.1328458162820633,11067996.875,0.008565912102090538,1280906.2656996048,389565.1108403452,796304.3234375002,0.0
approve_all,12.0,64455.42302589634,66209.67626260119,-68255.50467180955,-27585.729231358222,1.0,0.1507638888888889,15439547.916666666,0.004193956510477709,1892384.397259242,775594.5169416787,1052334.457291667,0.0
