group,n,share,observed_rate,mean_predicted,observed_expected,roc_auc,approval_rate,tpr,fpr
debt_consolidation,160983,0.5687922664348859,0.15732717119198922,0.14491509989632692,0.9211066263912188,0.6639271151059539,0.5833783691445681,0.6144430844553244,0.37968832930353247
credit_card,70650,0.24962370948252105,0.12232130219391366,0.11510457148279991,0.9410018485604968,0.679305562352355,0.7493559801840056,0.4428373061791252,0.22385821184363308
home_improvement,17160,0.060630472112102776,0.13508158508158508,0.12509731972141536,0.9260871468591405,0.6742752157642322,0.691899766899767,0.506039689387403,0.27718636302385125
other,15227,0.05380071088875227,0.1686477966769554,0.16658079133614567,0.9877436564156894,0.6465694989023115,0.46194260195705,0.7044392523364486,0.5043052373805198
major_purchase,5342,0.018874591026972788,0.14451516286035193,0.12116246135401293,0.8384065654833381,0.6669181755308897,0.7134032197678772,0.4727979274611399,0.2551422319474836
medical,3146,0.011115586553885509,0.17832167832167833,0.17544546888900858,0.9838706686716951,0.652545709685316,0.41830896376350923,0.732620320855615,0.548936170212766
car,2768,0.009780020210157371,0.1329479768786127,0.12041000733031292,0.9056926638323537,0.6728091032608696,0.7160404624277457,0.48097826086956524,0.25375
small_business,2425,0.008568117416774431,0.22969072164948454,0.2315853952337731,1.008248803306822,0.6307055616852286,0.18515463917525773,0.9048473967684022,0.7880085653104925
vacation,2071,0.007317348936140142,0.1632061805890874,0.15804599534671993,0.9683824152753164,0.6180802862635167,0.5161757605021728,0.6094674556213018,0.4593190998268898
moving,2061,0.0072820164931843715,0.20329936923823386,0.17874959892123737,0.8792432538822679,0.6552562652798409,0.391072295002426,0.7589498806682577,0.5706455542021924
house,1004,0.003547377272759393,0.21613545816733068,0.16473500099281266,0.7621840598930134,0.648399393368037,0.44721115537848605,0.728110599078341,0.5044472681067345
__small__,189,0.000667783171864069,0.23809523809523808,0.1855141202652738,0.77915930511415,0.5777777777777777,0.3333333333333333,0.7777777777777778,0.6319444444444444
