treatment,baseline,n_pairs,mean_difference,ci_low,ci_high,win_rate,significant,relative_improvement
expected_profit(lambda=0.0067),expected_profit,12.0,20327.72661076065,-4524.266855089243,47970.69367928415,0.5833333333333334,False,0.15223485407731868
fixed_threshold@0.150,expected_profit,12.0,2283.3291195708903,-34060.13165875797,40732.194096153595,0.5,False,0.017099909005287434
linucb@alpha=1,expected_profit,12.0,-16267.028898192497,-37843.4441369332,5423.966518260711,0.25,False,-0.1218241871315287
budget_aware_q(greedy),expected_profit,12.0,-23610.64119267744,-43072.924022835534,-1655.9360094015694,0.16666666666666666,True,-0.17682068366348822
risk_band,expected_profit,12.0,-38753.47585314538,-73517.84101960227,-6806.827268751593,0.3333333333333333,True,-0.29022575197215916
approve_all,expected_profit,12.0,-58602.32032379343,-81367.9178517775,-36268.331113267515,0.0,True,-0.43887424569958594
thompson,expected_profit,12.0,-88434.88486648601,-129086.76711519061,-51407.79521041741,0.08333333333333333,True,-0.6622910692761529
