,n,positive_rate,mean_prediction,roc_auc,pr_auc,gini,ks,brier,log_loss,ece,mce,calibration_slope,calibration_intercept,observed_expected_ratio
lightgbm,283026,0.14886264866125373,0.12972865873369638,0.6705033804775178,0.25018682033272666,0.34100676095503557,0.24634051435720838,0.12124042089397571,0.39863991351196837,0.01930845582088114,0.02822455551899644,0.9909846843543333,0.15153335044262936,0.8714654743843908
logistic,283026,0.14886264866125373,0.12856898182943555,0.6580638397523829,0.23662553389982868,0.31612767950476584,0.2279651662458131,0.122298114107089,0.4026328317210377,0.02044196686852906,0.033585560910684625,0.9722757527207416,0.12720720586281084,0.8636752266984199
