,n_episodes,mean_reward,std_reward,min_reward,p05_reward,approval_rate,default_rate_of_book,capital_deployed,return_on_capital,revenue,losses,costs,review_rate
thompson,12.0,173319.54082576968,90188.77312581672,-16155.619537280545,28173.16844233121,0.5992361111111112,0.14911583704318612,17303640.625,0.009997585831399576,2089105.1178284865,830267.3816902168,1085518.1953125002,0.0
expected_profit,12.0,147180.18782483155,82293.9028044996,16565.086687722127,26735.43866638686,0.6591666666666666,0.16981816816183404,15785475.0,0.009402151855941,2035038.133997728,877328.6086728965,1010529.3375,0.0
fixed_threshold@0.150,12.0,134189.13520809685,65597.49919759834,8176.874385047056,43059.32182644002,0.6136111111111112,0.0999740370235676,9915852.083333334,0.013644145332044754,1118649.152666428,313764.3747499978,670695.6427083333,0.0
linucb@alpha=1,12.0,119251.9967466693,70415.97380491723,-21117.704583886407,7953.181716747302,0.6334027777777778,0.14187091880138114,12564365.625,0.00949906615723544,1530192.002625848,587040.8480666786,823899.1578124999,0.0
risk_band,12.0,95036.83142175987,58387.366294629035,-7946.366783804857,-787.3118549852979,0.9497916666666666,0.1328458162820633,11067996.875,0.008565912102090538,1280906.2656996048,389565.1108403452,796304.3234375002,0.0
budget_aware_q(greedy),12.0,91554.6685121986,86689.49778295383,-68421.66788712164,-37946.88657689842,0.6586805555555555,0.16172233164856537,11986463.541666666,0.007683104653906359,1536757.8627240236,649405.5041076584,795797.6901041666,0.0
approve_all,12.0,64455.42302589634,66209.67626260119,-68255.50467180955,-27585.729231358222,1.0,0.1507638888888889,15439547.916666666,0.004193956510477709,1892384.397259242,775594.5169416787,1052334.457291667,0.0
