sigma_quintile,n,mean_sigma,default_rate,mean_pd,roc_auc,brier,ece,observed_expected_ratio
Q1_certain,56606,0.004117156,0.1488181464862382,0.13598188660695484,0.6614004185538507,0.12164620395526062,0.013019666759556434,0.9137453315851479
Q2,56605,0.01030273,0.1481141241939758,0.13769992795382582,0.6710714453064461,0.12047919245809761,0.010841947690526254,0.9296880274124893
Q3,56605,0.01807252,0.1497924211642081,0.13887382703636394,0.6703660336480519,0.12149455785188011,0.011703109234871762,0.9271085009309331
Q4,56605,0.029317297,0.15025174454553486,0.14064794859523913,0.6740425040425041,0.12155788026358555,0.011413988104522488,0.936081967105645
Q5_uncertain,56605,0.05494108,0.14733680770249977,0.1381545640864854,0.6756212665835424,0.1195760536653116,0.010322889020232458,0.9376785491745212
