treatment,baseline,n_pairs,mean_difference,ci_low,ci_high,win_rate,significant,relative_improvement
expected_profit,fixed_threshold@0.150,12.0,12991.05261673469,-17701.561821011448,44103.1726780061,0.5833333333333334,False,0.09681150859634441
risk_band,fixed_threshold@0.150,12.0,-39152.30378633699,-64956.50614246912,-13675.9314430672,0.16666666666666666,True,-0.29176955142918737
approve_all,fixed_threshold@0.150,12.0,-69733.71218220051,-94804.16169533564,-44851.45549357232,0.08333333333333333,True,-0.5196673491788987
