,mean,std,min,max
cohort_zip3_n_prior,1951.657958984375,2085.941162109375,0.0,11248.0
cohort_zip3_n_resolved,1014.2678833007812,1311.6494140625,0.0,8375.0
cohort_zip3_default_rate,0.14807313680648804,0.03127961978316307,0.04113707318902016,0.3758344054222107
cohort_zip3_evidence_weight,0.8725030422210693,0.19195379316806793,0.0,0.9970238208770752
cohort_zip3_default_lift,1.1686707735061646,0.24687513709068298,0.3246753215789795,2.9662818908691406
cohort_zip3_mean_fico_mid,698.4290161132812,5.1070661544799805,632.0,837.0
cohort_zip3_mean_dti_clean,17.699159622192383,1.9303799867630005,0.0,34.900001525878906
cohort_zip3_mean_loan_amnt,12493.4833984375,1232.161376953125,500.0,35000.0
cohort_zip3_mean_annual_inc,73432.5859375,11447.6953125,1896.0,679602.375
cohort_emp_n_prior,1433.4754638671875,3805.426513671875,0.0,23014.0
cohort_emp_n_resolved,568.4332885742188,1835.168212890625,0.0,16963.0
cohort_emp_default_rate,0.13739921152591705,0.038081295788288116,0.03205811604857445,0.36447861790657043
cohort_emp_evidence_weight,0.3940531611442566,0.4106694459915161,0.0,0.9985283613204956
cohort_emp_default_lift,1.0844265222549438,0.30055752396583557,0.25301942229270935,2.8766560554504395
cohort_emp_mean_fico_mid,697.293701171875,12.068523406982422,632.0,847.5
cohort_emp_mean_dti_clean,17.840965270996094,3.225770950317383,0.0,60.0
cohort_emp_mean_loan_amnt,12754.404296875,3933.69873046875,500.0,40000.0
cohort_emp_mean_annual_inc,75962.546875,37906.03125,0.0,7500000.0
