epoch,train_loss,valid_auc
0,0.39858742096485233,0.65799645894911
1,0.3656361736038811,0.6628567179568529
2,0.36441041121625495,0.6621347075194371
3,0.36343077627512127,0.6644530491992224
4,0.3626872204307817,0.663386478546874
5,0.3620125680652439,0.6632785723751847
6,0.36165754484315205,0.6625839084487246
7,0.36094127213343596,0.6637976284898477
8,0.3610071906676659,0.6630538396356743
