vintage,n,observed_rate,mean_predicted,observed_expected,roc_auc,brier,ece,calibration_slope
2010,9156,0.109217999126256,0.1269389237059543,0.8603980240076112,0.7475083374203041,0.08838754998064566,0.025945585211122196,1.342054999261107
2011,14101,0.10630451741011276,0.11692761347365206,0.9091480981442159,0.7391756383322363,0.08748454148342093,0.018889093874792033,1.3520985993301071
2012,43470,0.13579480101219232,0.13775694708377528,0.9857564637347132,0.7093829006873127,0.10925504957715086,0.013929487891894278,1.2768078423367963
2013,100422,0.12325984346059628,0.13467949054271386,0.9152087148822722,0.7124704330659036,0.10103707154444727,0.019283932234943783,1.3584848477116458
2014,162570,0.13726394783785445,0.14016543008407037,0.9792995873199574,0.6875436286614504,0.11201624482197617,0.006312337162728755,1.1282484338278125
2015,283026,0.14886264866125373,0.13827162276554802,1.0765958024059914,0.6705033804775178,0.12095078009593815,0.01110906288718786,1.0048662029877675
