,n,positive_rate,mean_prediction,roc_auc,pr_auc,gini,ks,brier,log_loss,ece,mce,calibration_slope,calibration_intercept,observed_expected_ratio
logistic,5009,0.10840487123178279,0.1071897694080995,0.6996620259146454,0.2326488390461069,0.39932405182929087,0.31218521111834124,0.09106609160587582,0.31724831905611894,0.016106479023357094,0.04869888556576568,0.9657512584375394,-0.05213043172488013,0.9887910772839235
lightgbm,5009,0.10840487123178279,0.1074173294816703,0.6976783456589135,0.22567104980848002,0.395356691317827,0.3083056842820607,0.09256797874395353,0.3239124838494192,0.03257654088406891,0.10207479705472533,1.7802140053186977,1.5852574078081354,0.9908902456237322
