quantile,n,mean_signal,default_rate,mean_pd,calibration_gap,roc_auc,brier,ece,observed_expected_ratio
Q1_normal,56606,0.011693271808326244,0.1376179203617991,0.13508474423181538,0.0025331761299837163,0.6471720797785528,0.11483241496208701,0.0048765685664832435,0.9815926870328808
Q2,56605,0.02404807321727276,0.14325589612225068,0.1365511223759747,0.006704773746275983,0.668103806296583,0.11749000601147132,0.0084575643827915,0.953197223096812
Q3,56605,0.03832414001226425,0.14454553484674498,0.13590095184450446,0.008644583002240525,0.673140623033412,0.118083613271601,0.011165828415529579,0.9401947420139545
Q4,56605,0.06292149424552917,0.1497924211642081,0.13757800650891966,0.012214414655288441,0.6864040460054102,0.12045226196707402,0.01333878272891433,0.9184577259626604
Q5_anomalous,56605,0.24010156095027924,0.1691016694638283,0.14624334516682688,0.02285832429700141,0.6705861642662914,0.1338957123562329,0.022858324297001412,0.8648249637660087
