relation,key_column,cohorts,edges,mean_degree,median_degree,isolated_share,at_cap_share
zip3,zip3,939,16037403,9.963551972624373,10.0,0.0007921188215508506,0.993586011989262
emp,emp_norm,308446,10022851,6.226893272705698,10.0,0.2805765630989428,0.5741960615230923
