quantile,n,mean_signal,default_rate,mean_pd,calibration_gap,roc_auc,brier,ece,observed_expected_ratio
Q1_certain,56606,0.024061260744929314,0.1493834575840017,0.13664460426295297,0.012738853321048738,0.6687409555640045,0.12145474991498685,0.013472104010847013,0.9147238019050041
Q2,56605,0.037984490394592285,0.1492094337956011,0.13914112600443984,0.010068307791161246,0.6680544103214971,0.12131996399088081,0.010427562002956262,0.9325223108549985
Q3,56605,0.0480082705616951,0.14777846479992934,0.13889911627242918,0.008879348527500164,0.6672858262978791,0.12042393381586952,0.009996315234301275,0.939914462235607
Q4,56605,0.05959520861506462,0.14928009893118982,0.13889704541234163,0.01038305351884819,0.6719415349472457,0.12105685354178568,0.01201633860155979,0.9304458290610176
Q5_uncertain,56605,0.08496606349945068,0.14866177899478844,0.13777625061894735,0.010885528375841086,0.6764731479190179,0.12049839031289404,0.012194933137980313,0.9267765497665497
