group,n,share,observed_rate,mean_predicted,observed_expected,roc_auc,approval_rate,tpr,fpr
MORTGAGE,129762,0.45848084628267366,0.12062853531850619,0.11554746286078724,0.9578783540370199,0.67601236423063,0.7455187188853439,0.4445154283523925,0.22841318388558307
RENT,121463,0.42915845187367946,0.17654759062430533,0.16124754536256986,0.9133375584020623,0.6504951016031446,0.49644747783275567,0.6803767953739974,0.46564152810965914
OWN,31800,0.1123571685993513,0.15833333333333333,0.14324265683707127,0.9046904642341344,0.6512438486358614,0.5870125786163523,0.5952333664349553,0.37870353073043156
