treatment,baseline,n_pairs,mean_difference,ci_low,ci_high,win_rate,significant,relative_improvement
expected_profit(lambda=0.0500),expected_profit,12.0,14836.775245125124,-12502.930578167809,42204.52744381254,0.5833333333333334,False,0.31611800621140645
fixed_threshold@0.150,expected_profit,12.0,768.9836891893314,-20397.59209016278,22428.061614651626,0.5,False,0.01638426050266513
linucb@alpha=1,expected_profit,12.0,-715.7730011827813,-19125.921794807728,17780.789556087515,0.5,False,-0.015250533238899064
risk_band,expected_profit,12.0,-9571.518429871789,-27586.98383932729,7693.848534972904,0.5,False,-0.20393443133547207
thompson,expected_profit,12.0,-11497.116130016095,-35176.87407004319,10216.375941533075,0.4166666666666667,False,-0.24496195218673603
budget_aware_q(greedy),expected_profit,12.0,-13123.303848697187,-30442.04787726906,5913.881653237358,0.25,False,-0.2796101294935836
approve_all,expected_profit,12.0,-26316.334544915648,-38325.17450205612,-14365.745200520023,0.08333333333333333,True,-0.5607058858605051
