,n,positive_rate,mean_prediction,roc_auc,pr_auc,gini,ks,brier,log_loss,ece,mce,calibration_slope,calibration_intercept,observed_expected_ratio
A_tabular,283026,0.14886264866125373,0.1384069870957262,0.66896820259633,0.24403316903126032,0.3379364051926601,0.24386636459620842,0.12108039711311243,0.39796445000884384,0.010455661565527541,0.026559062594748162,0.9714237855762221,0.04069966757142242,0.9297630288083881
B_tabular_plus_graph,283026,0.14886264866125373,0.1486688344419898,0.667934417710907,0.24222797890116013,0.335868835421814,0.24108796626613144,0.12105319134025579,0.3976353590522241,0.0032435722139162004,0.011268942356227829,0.9761696996089689,-0.036030232580935406,0.9986980332473798
C_graphsage,283026,0.14886264866125373,0.13697783837159086,0.6615782044190212,0.23500700739448732,0.3231564088380423,0.23418030463505313,0.12170146745524028,0.4004738628065282,0.011884810289662878,0.02457345342378006,0.956213434988847,0.026071791308361455,0.9201625767340235
